Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Wednesday, October 24, 2018
1:56:44 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
2.829917,13.655728,4.376076,42.444014,12.477434,0.330702,4228.189013,0.875045,4.046526,0.168550,11.178903,2.877722,41.380280,4.052397,37.434754,3.991268,8.375070,3.990448,0.000206,-0.000041,0.000000,-16.362532,4.043473,0.073221,179.999974,0.000648,8190.578983,0.000102,15.800073,0.214412
2.851931,13.153539,4.400220,42.291211,12.477431,0.333739,4243.157012,0.874990,4.066744,0.195740,10.657458,2.900632,41.324233,4.073958,37.491943,4.011537,8.350521,4.009975,0.000142,-0.000041,0.000000,-16.362587,4.063058,0.080930,179.999974,0.000648,8227.568547,0.000103,15.314906,0.319487
2.873421,12.655773,4.424591,42.126864,12.477430,0.336781,4178.794611,0.874953,4.087011,0.222793,10.146259,2.922707,41.254570,4.095663,37.536473,4.032064,8.320097,4.029820,0.000089,-0.000042,0.000000,-16.362624,4.082681,0.087797,179.999974,0.000649,8283.282880,0.000100,14.592738,0.484572
2.887468,12.327078,4.440799,42.010253,12.477428,0.338749,4177.919065,0.874974,4.100675,0.240873,9.810805,2.937192,41.201279,4.110255,37.560311,4.045808,8.297665,4.042972,0.000072,-0.000042,0.000000,-16.362608,4.096042,0.092314,179.999974,0.000649,8339.556499,0.000100,13.878163,0.654049
2.907887,11.840526,4.466068,41.826091,12.477424,0.341668,4178.724326,0.874973,4.121244,0.260310,9.316512,2.958394,41.110982,4.132172,37.587083,4.066405,8.260123,4.062587,0.000050,-0.000041,0.000000,-16.362610,4.116331,0.097643,179.999974,0.000650,8396.153022,0.000101,13.174282,0.831206
2.927969,11.360404,4.490308,41.633450,12.477420,0.344556,4178.794579,0.874953,4.141807,0.262183,8.834388,2.979041,41.007807,4.153962,37.600999,4.086983,8.217939,4.082478,0.000027,-0.000041,0.000000,-16.362627,4.136957,0.097643,179.999974,0.000651,8432.434487,0.000101,12.711496,0.950580
2.947703,10.888697,4.515447,41.431048,12.477419,0.347444,4177.714507,0.874947,4.162412,0.262180,8.364402,2.999647,40.894312,4.175780,37.604855,4.107820,8.173952,4.102124,0.000009,-0.000041,0.000000,-16.362634,4.157666,0.097654,179.999974,0.000652,8486.323938,0.000101,12.030921,1.132264
2.967102,10.424868,4.539338,41.220867,12.477416,0.350304,4199.180224,0.874987,4.182963,0.262162,7.907985,3.019795,40.769046,4.197743,37.596623,4.128601,8.129052,4.121813,-0.000003,-0.000042,0.000000,-16.362598,4.178338,0.097648,179.999974,0.000654,8539.654482,0.000101,11.360999,1.320069
2.979854,10.120580,4.555709,41.075804,12.477416,0.352147,4184.685799,0.874966,4.196549,0.262161,7.610434,3.032930,40.680079,4.212177,37.585492,4.142392,8.098985,4.134764,-0.000006,-0.000042,0.000000,-16.362615,4.192059,0.097625,179.999974,0.000655,8593.124006,0.000101,10.703755,1.507352
2.999003,9.671423,4.579078,40.851530,12.477412,0.354912,4164.028915,0.874957,4.216965,0.262143,7.173884,3.052942,40.538390,4.233915,37.560519,4.163026,8.052971,4.154024,-0.000009,-0.000041,0.000000,-16.362628,4.212499,0.097624,179.999974,0.000657,8645.957894,0.000100,10.058459,1.695346
3.017833,9.229832,4.604030,40.620248,12.477410,0.357740,4181.728625,0.874916,4.237259,0.262137,6.751679,3.072680,40.386360,4.255602,37.524649,4.183630,8.006914,4.173344,-0.000037,-0.000041,0.000000,-16.362673,4.232883,0.097628,179.999974,0.000658,8679.676891,0.000100,9.635385,1.819248
3.036420,8.796911,4.628181,40.380063,12.477407,0.360567,4175.861975,0.874878,4.257501,0.262142,6.339756,3.092256,40.225994,4.277190,37.480817,4.203993,7.962386,4.192680,-0.000047,-0.000042,0.000000,-16.362708,4.253273,0.097611,179.999974,0.000659,8730.360489,0.000101,9.008582,2.004393
3.048986,8.512176,4.644611,40.215980,12.477406,0.362412,4169.949838,0.874860,4.271040,0.262139,6.072251,3.105333,40.114047,4.291664,37.446018,4.217548,7.933620,4.205429,-0.000059,-0.000042,0.000000,-16.362730,4.266817,0.097607,179.999974,0.000661,8782.621553,0.000100,8.393159,2.189529
3.067362,8.090899,4.668723,39.963866,12.477404,0.365179,4176.790961,0.874803,4.291323,0.262139,5.679861,3.124611,39.938718,4.313100,37.386615,4.237825,7.892314,4.224695,-0.000074,-0.000043,0.000000,-16.362783,4.287078,0.097607,179.999974,0.000663,8834.850771,0.000100,7.789459,2.372758
3.085539,7.677157,4.691861,39.703534,12.477400,0.367945,4178.848406,0.874768,4.311426,0.262147,5.297615,3.143559,39.755953,4.334629,37.319996,4.258082,7.853542,4.243573,-0.000072,-0.000043,0.000000,-16.362821,4.307167,0.097613,179.999974,0.000665,8868.616977,0.000100,7.389721,2.492703
3.103210,7.269138,4.714564,39.436717,12.477398,0.370680,4175.862060,0.874700,4.331220,0.262167,4.925434,3.162091,39.563077,4.355798,37.242717,4.278168,7.818132,4.262367,-0.000073,-0.000043,0.000000,-16.362889,4.326965,0.097631,179.999974,0.000666,8919.185816,0.000100,6.800927,2.671408
3.114710,7.000700,4.729806,39.254718,12.477396,0.372494,4176.813055,0.874697,4.344334,0.262167,4.683134,3.174021,39.430238,4.369823,37.186631,4.291461,7.796088,4.274953,-0.000087,-0.000042,0.000000,-16.362896,4.340162,0.097638,179.999974,0.000668,8969.630796,0.000100,6.222232,2.844344
3.130641,6.603577,4.752508,38.975993,12.477393,0.375198,4189.508879,0.874642,4.363521,0.262183,4.328492,3.190653,39.224158,4.390397,37.095842,4.310929,7.766534,4.293252,-0.000099,-0.000043,0.000000,-16.362958,4.359434,0.097641,179.999974,0.000670,9019.131193,0.000100,5.654573,3.012875
3.145086,6.212249,4.773626,38.692350,12.477390,0.377719,4175.808293,0.874648,4.382004,0.262183,3.990091,3.205491,39.008536,4.410159,36.994835,4.329642,7.743139,4.311004,-0.000074,-0.000044,0.000000,-16.362944,4.377985,0.097658,179.999974,0.000671,9051.835029,0.000100,5.282616,3.123814
3.156890,5.831836,4.792724,38.403889,12.477388,0.380117,4191.444437,0.874657,4.399172,0.262191,3.677691,3.217745,38.786787,4.428732,36.886209,4.347354,7.725497,4.327589,-0.000042,-0.000044,0.000000,-16.362929,4.395349,0.097660,179.999974,0.000674,9100.456211,0.000100,4.742576,3.282264
3.163153,5.589508,4.804241,38.210372,12.477386,0.381528,4165.087686,0.874648,4.409761,0.262185,3.534129,3.224427,38.635144,4.440160,36.808072,4.358245,7.717207,4.337957,-0.000033,-0.000044,0.000000,-16.362942,4.405986,0.097662,179.999974,0.000676,9144.425626,0.000100,4.222137,3.430298
3.171270,5.256227,4.821351,37.919879,12.477384,0.383404,4175.849564,0.874635,4.424303,0.262194,3.563804,3.233017,38.402558,4.455710,36.682516,4.373205,7.710490,4.351988,-0.000034,-0.000044,0.000000,-16.362959,4.420574,0.097664,179.999974,0.000679,9185.643539,0.000100,3.736562,3.564039
3.178346,4.974612,4.836398,37.629928,12.477383,0.385186,4198.285302,0.874617,4.437616,0.262199,3.636150,3.240750,38.166372,4.469721,36.549260,4.386882,7.710973,4.364621,-0.000020,-0.000044,0.000000,-16.362980,4.433844,0.097677,179.999974,0.000682,9208.955998,0.000100,3.438553,3.644730
3.184554,4.731365,4.849922,37.340046,12.477382,0.386754,4177.857826,0.874630,4.449559,0.262208,3.701524,3.247564,37.925283,4.482512,36.407061,4.399289,7.718191,4.376038,0.000005,-0.000044,0.000000,-16.362963,4.445999,0.097673,179.999974,0.000685,9239.074080,0.000100,3.033243,3.749224
3.188694,4.590932,4.857975,37.145968,12.477381,0.387768,4176.720324,0.874615,4.457191,0.259685,3.741072,3.252098,37.762401,4.490503,36.308796,4.407141,7.725259,4.383202,0.000013,-0.000045,0.000000,-16.362979,4.453926,0.096342,179.999974,0.000689,9268.705642,0.000099,2.688948,3.836565
3.194321,4.406287,4.870744,36.851876,12.477381,0.389213,4170.875318,0.874589,4.467805,0.235894,3.798468,3.258491,37.514787,4.501780,36.157351,4.418195,7.738304,4.393468,0.000014,-0.000045,0.000000,-16.363009,4.465436,0.087758,179.999974,0.000692,9294.439307,0.000100,2.390799,3.908556
3.200180,4.244350,4.884095,36.552452,12.477379,0.390627,4184.620143,0.874582,4.478067,0.218845,3.853603,3.265138,37.261216,4.512769,36.000285,4.428910,7.753657,4.403354,0.000014,-0.000044,0.000000,-16.363021,4.476006,0.082849,179.999974,0.000694,9311.576726,0.000100,2.213796,3.951109
3.206141,4.106614,4.897582,36.242337,12.477377,0.392133,4176.818640,0.874549,4.487944,0.218446,3.909839,3.271890,37.002090,4.523531,35.839303,4.439222,7.770583,4.412771,0.000014,-0.000044,0.000000,-16.363055,4.485947,0.082848,179.999974,0.000697,9336.462452,0.000100,1.979513,4.009061
