Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 15, 2018
8:27:28 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,
55.818856,75.303702,160.971709,162.216903,53.603872,57.171437,59.226295,12.934246,158.401608,1.335473,75.480323,56.520408,160.817697,160.298662,158.083935,158.991631,68.235645,158.385730,0.001908,-1.735991,32.000000,-237.072924,159.043338,0.424220,15.169947,0.683193,281863.520486,0.915908,29.331877,40.588061,2.882501
55.827016,75.282639,161.018988,162.222817,53.663755,57.171479,59.174075,12.934414,158.471976,1.335492,75.449428,56.527165,160.817968,160.368876,158.079411,159.063289,68.251232,158.454077,0.001911,-1.735426,32.000000,-237.072712,159.110736,0.423922,15.177941,0.683219,281909.894716,0.915963,29.302770,40.602398,2.883614
55.835734,75.260792,161.124692,162.230450,53.604116,57.175450,7.856044,12.935333,158.543323,1.335410,75.417089,56.532898,160.819426,160.439779,158.075045,159.136140,68.267076,158.524357,0.001915,-1.735442,32.000000,-237.071742,159.181770,0.424030,15.182914,0.683210,281905.257334,0.914971,29.281524,40.611946,2.883823
55.840271,75.238040,161.189101,162.239330,53.541819,57.175552,59.186036,12.936227,158.618546,1.335476,75.383673,56.535673,160.823431,160.514599,158.072386,159.210209,68.284103,158.598257,0.001894,-1.735428,32.000000,-237.070862,159.255967,0.424041,15.190028,0.682894,281870.885727,0.915582,29.252721,40.625839,2.884248
55.843209,75.222140,161.240262,162.246230,53.615472,57.175489,59.168312,12.936680,158.668352,1.335457,75.360534,56.537965,160.826768,160.564298,158.071209,159.258860,68.295250,158.647824,0.001894,-1.735420,32.000000,-237.070462,159.304907,0.423873,15.194310,0.682992,281854.725578,6.895351,29.222604,40.640300,2.885691
55.845754,75.197188,161.319188,162.258065,53.687072,57.175484,59.168391,12.937277,158.744182,1.335546,75.324762,56.541014,160.832522,160.639100,158.070124,159.332607,68.311374,158.721253,0.001891,-1.735442,32.000000,-237.069812,159.380975,0.424061,15.199836,0.682823,281818.706461,0.915119,29.195549,40.655126,2.886610
55.843360,75.171437,161.386548,162.271254,53.785054,57.175460,59.173276,12.935629,158.817169,1.335557,75.287165,56.539764,160.838824,160.710343,158.070237,159.407936,68.327664,158.792353,0.001912,-1.735474,32.000000,-237.071467,159.454567,0.423867,15.207011,0.682774,281793.659722,0.915302,29.176865,40.665340,2.887375
55.840726,75.144417,161.438112,162.285770,53.780097,57.175578,59.175662,12.936246,158.895046,1.335648,75.248973,56.539134,160.846509,160.784354,158.071933,159.481163,68.344317,158.868108,0.001893,-1.735489,32.000000,-237.070860,159.546592,0.423936,15.217643,0.682757,281757.241709,0.915196,29.149499,40.680847,2.888656
55.837734,75.125906,161.522233,162.296128,53.837644,57.175499,59.174815,12.935853,158.944193,1.228432,75.222432,56.535924,160.852368,160.832284,158.073061,159.530163,68.355282,158.918104,0.001894,-1.735493,32.000000,-237.071277,159.591550,0.387306,15.215916,0.682687,281721.063353,0.915103,29.126018,40.695175,2.889986
55.833067,75.097194,161.603736,162.312893,53.853764,57.175418,7.815059,12.935397,159.016557,1.216732,75.181124,56.531073,160.862784,160.905025,158.075503,159.602475,68.371443,158.992065,0.001888,-1.735507,32.000000,-237.071777,159.689443,0.383101,15.219873,0.682407,281684.281496,0.915052,29.101496,40.711135,2.891046
55.824664,75.067191,161.719342,162.331519,53.888697,57.175402,59.173333,12.935189,159.091030,1.216736,75.138617,56.523582,160.874109,160.978758,158.078353,159.675319,68.386980,159.066226,0.001909,-1.735522,32.000000,-237.071966,159.762034,0.383226,15.228218,0.682829,281659.223689,0.915074,29.085823,40.721686,2.892708
55.815873,75.036185,161.806426,162.351661,53.835291,57.175214,59.157261,12.936519,159.165465,1.216658,75.095106,56.513038,160.887182,161.051430,158.082778,159.748100,68.402865,159.140776,0.001912,-1.735514,32.000000,-237.070700,159.836487,0.383082,15.233485,0.682982,281621.157739,6.928960,29.061537,40.737345,2.894409
55.807194,75.014969,161.848301,162.366053,53.824092,57.175195,59.204025,12.936007,159.213277,1.216648,75.065511,56.502767,160.896673,161.099104,158.086185,159.796828,68.413198,159.190371,0.001913,-1.735515,32.000000,-237.071271,159.884856,0.383140,15.241885,0.683126,281584.291687,0.915193,29.039503,40.753704,2.896916
55.793736,74.982313,161.900630,162.389047,53.742964,57.171153,59.195957,12.935007,159.289846,1.133316,75.020809,56.487348,160.911537,161.169939,158.091850,159.868236,68.429240,159.266288,0.001908,-1.735508,32.000000,-237.072311,159.992538,0.353087,15.245176,0.683295,281545.516586,0.915524,29.016838,40.769872,2.898932
55.773306,74.948798,161.943011,162.413669,53.773868,57.162236,7.892348,12.933319,159.363012,0.968384,74.975282,56.466307,160.928418,161.240281,158.099184,159.939280,68.445595,159.336548,0.001910,-1.735526,32.000000,-237.074072,160.049427,0.301054,15.255702,0.683165,281521.105422,0.914907,29.003855,40.780855,2.900133
55.752413,74.913744,162.039296,162.441069,53.835574,57.142253,59.233925,12.932755,159.431561,0.968390,74.928135,56.444530,160.947067,161.309494,158.106650,160.007962,68.461511,159.407565,0.001930,-1.735520,32.000000,-237.074597,160.103761,0.301850,15.260074,0.683298,281462.985017,0.915133,28.983971,40.797434,2.901771
55.727918,74.878243,162.059945,162.470277,53.785015,57.117814,59.209353,12.931846,159.494870,1.216115,74.881951,56.419355,160.968406,161.374440,158.115222,160.073301,68.477389,159.473194,0.001908,-1.735521,32.000000,-237.075532,160.152335,0.383094,15.269532,0.683097,281382.125843,6.864986,28.969847,40.811258,2.903594
55.710909,74.854609,162.103161,162.490691,53.708317,57.101542,59.178362,12.931298,159.537659,1.220912,74.850981,56.401924,160.983487,161.418516,158.121154,160.117707,68.487572,159.516893,0.001908,-1.735523,32.000000,-237.076000,160.197322,0.383145,15.270397,0.683254,281246.203679,0.914668,28.954628,40.825838,2.906409
55.681742,74.819301,162.144336,162.522677,53.720137,57.077210,59.173457,12.931102,159.601339,1.220790,74.804831,56.372538,161.007277,161.481720,158.130392,160.182640,68.502584,159.582745,0.001908,-1.735530,32.000000,-237.076263,160.262111,0.383115,15.272172,0.682877,281089.031956,0.915014,28.942389,40.838131,2.908057
