Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 29, 2018
12:44:32 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
55.325823,74.550434,161.657807,162.257890,62.512186,56.789899,59.202307,12.774601,158.921567,1.285760,74.487162,55.896388,160.646500,161.056525,157.698900,159.714829,68.629529,159.268207,0.001933,0.014642,32.000000,-237.232201,160.014664,0.399352,15.237747,0.683603,279570.432720,0.916848,28.981701,40.589113,2.917894,69.585057,96.135480,54.787805
55.306151,74.535810,161.671831,162.284119,62.496855,56.765426,59.161596,12.774154,158.941282,1.358857,74.471516,55.874553,160.670970,161.075214,157.713901,159.732685,68.635747,159.287795,0.001922,0.014641,32.000000,-237.232576,160.034233,0.416989,15.242113,0.683864,279371.280650,0.917042,28.989603,40.594084,2.920493,69.585804,96.140270,54.788341
55.274930,74.515101,161.714571,162.322247,62.529722,56.728804,59.180027,12.774552,158.971187,1.362953,74.449114,55.842857,160.706652,161.102292,157.736334,159.760786,68.643969,159.316094,0.001922,0.014644,32.000000,-237.232129,160.060484,0.417025,15.241968,0.683500,279173.156103,0.916368,28.997570,40.597970,2.921923,69.586841,96.147593,54.788633
55.243693,74.495533,161.729830,162.359393,62.489380,56.692163,59.209087,12.773968,158.998304,1.298191,74.428596,55.810966,160.741946,161.126485,157.757987,159.783401,68.651786,159.338094,0.001941,0.014643,32.000000,-237.232769,160.098236,0.392627,15.242812,0.683296,279040.755052,0.916927,29.001738,40.600167,2.923216,69.588540,96.155639,54.787793
55.209151,74.476847,161.759860,162.395745,62.448843,56.667805,59.239608,12.774871,159.027725,0.904571,74.409541,55.775769,160.776515,161.147575,157.780685,159.805750,68.658845,159.360558,0.001934,0.014629,32.000000,-237.231815,160.157621,0.262463,15.239847,0.683414,278845.221533,0.916570,29.010862,40.604100,2.925640,69.590191,96.163688,54.786532
55.172059,74.459179,161.807465,162.431730,62.347367,56.631039,59.164756,12.774630,159.047433,0.684986,74.392935,55.739554,160.811197,161.163013,157.803312,159.821819,68.665719,159.376941,0.001924,0.014629,32.000000,-237.232029,160.183782,0.195703,15.240836,0.683371,278650.472644,0.916051,29.021158,40.605731,2.927571,69.591928,96.172966,54.784834
55.148673,74.448004,161.806300,162.455760,62.331417,56.606597,59.199885,12.774720,159.057234,0.680505,74.383382,55.715806,160.834402,161.172502,157.818698,159.831311,68.670318,159.384179,0.001923,0.014631,32.000000,-237.231953,160.192573,0.195563,15.241250,0.683754,278518.899856,0.915771,29.035509,40.608321,2.929947,69.593513,96.179571,54.783633
55.115232,74.432615,161.807552,162.491564,62.256941,56.570185,59.218264,12.773631,159.064293,0.812460,74.371486,55.681767,160.868516,161.182441,157.841826,159.839555,68.675977,159.395267,0.001942,0.014628,32.000000,-237.233037,160.202133,0.237652,15.244370,0.683919,278327.809906,0.916970,29.053336,40.608481,2.932779,69.595151,96.189676,54.781572
55.084580,74.419845,161.826176,162.526176,62.120254,56.537623,59.228199,12.774084,159.074132,0.826386,74.362048,55.650613,160.902029,161.192016,157.863972,159.847132,68.680978,159.402971,0.001950,0.014637,32.000000,-237.232600,160.208379,0.239577,15.242474,0.683889,278200.848649,0.916430,29.064547,40.606991,2.934002,69.596997,96.200623,54.779446
55.056612,74.408789,161.834596,162.559484,62.066890,56.513305,59.189133,12.774027,159.079527,0.826314,74.354894,55.620352,160.934987,161.194990,157.884920,159.849594,68.685463,159.406696,0.001933,0.014628,32.000000,-237.232690,160.212905,0.239310,15.239322,0.683733,278013.451757,0.916131,29.081185,40.606091,2.935805,69.598561,96.212186,54.777193
